YEAR_DATE,PRODUCT,RENEWAL_RATE
2020-12-01,Daily Fitness,0.822807
2020-12-01,Healthy Meals,0.760465
2021-12-01,Daily Fitness,0.830002
2021-12-01,Healthy Meals,0.811855
2021-12-01,Mindful Living,0.850057
2021-12-01,Wellness Tracker,0.792934
2022-12-01,Daily Fitness,0.846696
2022-12-01,Healthy Meals,0.863784
2022-12-01,Mindful Living,0.82923
2022-12-01,Wellness Tracker,0.788155
2023-12-01,Daily Fitness,0.865359
2023-12-01,Healthy Meals,0.887859
2023-12-01,Mindful Living,0.789107
2023-12-01,Premium Health,0.732382
2023-12-01,Wellness Tracker,0.787242
2024-12-01,Daily Fitness,0.879908
2024-12-01,Healthy Meals,0.862077
2024-12-01,Mindful Living,0.750249
2024-12-01,Premium Health,0.781704
2024-12-01,Wellness Tracker,0.776975
